STATES,L-2015,L-2016,L-2017,L-2018,L-2019,L-2020,L-2021,L-2022,L-2023,L-2024,P-2015,P-2016,P-2017,P-2018,P-2019,P-2020,P-2021,P-2022,P-2023,P-2024,Debt_Per_Person_2015,Debt_Per_Person_2016,Debt_Per_Person_2017,Debt_Per_Person_2018,Debt_Per_Person_2019,Debt_Per_Person_2020,Debt_Per_Person_2021,Debt_Per_Person_2022,Debt_Per_Person_2023,Debt_Per_Person_2024,Area(km^2),p_density,avg_debt,lit_rate_%
Maharashtra,321806.2,351440.8,396001.0,432479.4,438841.8,480955.2,548348.2,606407.1,653197.0,722887.3,116937181.5,118106553.4,119287618.9,120480495.1,121685300.0,122902153.0,124131174.6,125372486.3,126626211.2,127892473.3,27519.578963000746,29756.248902611696,33197.15856948839,35896.217030070955,36063.66586596738,39133.17938376556,44174.89818871012,48368.4353637964,51584.65959060457,56523.05263534223,307713,365,495236.3999999999,82.34
Manipur,7391.5,8146.7,8831.4,9564.9,10463.0,11405.8,13060.5,15334.0,17376.4,19245.8,2832270.208,2860592.91,2889198.839,2918090.827,2947271.736,2976744.453,3006511.898,3036577.017,3066942.787,3097612.215,26097.439358441326,28479.06100697145,30566.95122810133,32777.937929483094,35500.62884327134,38316.35593880117,43440.70618409373,50497.6488794916,56657.07255333942,62131.08247314941,22327,122,12082.000000000002,79.21
Meghalaya,6912.1,7524.6,9244.2,10157.5,11348.4,12320.7,14704.9,16927.6,18845.1,20029.9,3087356.591,3118230.157,3149412.458,3180906.583,3212715.649,3244842.805,3277291.233,3310064.145,3343164.787,3376596.435,22388.408323643496,24130.996177778292,29352.14146536535,31932.7202322936,35323.387563204786,37970.09821558983,44869.06702685462,51139.79445253318,56369.04310933088,59319.79253540852,22429,132,12801.5,74.43
Mizoram,7007.8,7076.1,6680.5,7547.0,7638.7,9001.4,10217.1,10953.7,12880.0,14039.3,1141756.963,1153174.533,1164706.278,1176353.341,1188116.875,1199998.043,1211998.024,1224118.004,1236359.184,1248722.776,61377.335344527266,61361.91701694473,57357.80879855445,64155.893785998094,64292.49647683019,75011.78899839256,84299.64238951598,89482.38620955698,104176.845747441,112429.2778976268,21081,52,9304.16,91.33
Nagaland,7946.2,8923.4,9562.2,10399.2,11639.5,13836.1,15254.0,15834.5,17085.2,18165.8,2058837.115,2079425.486,2100219.741,2121221.938,2142434.158,2163858.499,2185497.084,2207352.055,2229425.576,2251719.832,38595.573890263775,42912.81442916776,45529.52157019079,49024.57311847771,54328.390707071616,63941.79659341949,69796.47839237293,71735.2719704696,76634.98698464739,80675.22318646967,16579,119,12864.61,79.55
Odisha,50877.6,65217.9,71984.4,103065.7,105685.1,143800.3,141239.6,139002.4,129872.9,120986.9,43678539.57,44115324.96,44556478.21,45002042.99,45452063.42,45906584.06,46365649.9,46829306.4,47297599.46,47770575.46,11648.19165221004,14783.502118398541,16155.765197762921,22902.449122788144,23251.991669424635,31324.548089235457,30462.120191266855,29682.780012304433,27458.66629232096,25326.657431896885,155707,269,107173.28,72.87
Punjab,112393.2,134130.2,182584.0,195174.1,211940.1,229629.9,259266.0,284923.2,316346.1,351130.2,28869828.77,29158527.06,29450112.33,29744613.46,30042059.59,30342480.19,30645904.99,30952364.04,31261887.68,31574506.55,38931.024113587075,46000.334558737486,61997.72617301933,65616.62005205295,70547.79295842546,75679.34412813073,84600.53637985255,92052.1610665316,101192.25788223417,111206.86856783197,50362,550,227751.7,75.84
Rajasthan,148090.6,209861.4,255472.1,281663.1,311853.6,353182.0,411001.4,463832.8,499529.0,562494.9,71331778.42,72045096.21,72765547.17,73493202.64,74228134.67,74970416.01,75720120.17,76477321.37,77242094.59,78014515.53,20760.817027166446,29129.17201030413,35108.93684385387,38325.05454684047,42012.85690209302,47109.51583260395,54279.02109469143,60649.71833361688,64670.566308629146,72101.31296446956,342239,201,349698.08999999997,66.11
Sikkim,3499.9,4338.3,4688.5,5910.9,6850.4,7954.0,9655.7,11482.2,13331.4,15529.5,635368.8746,641722.5634,648139.789,654621.1869,661167.3988,667779.0727,674456.8635,681201.4321,688013.4464,694893.5809,55084.53655686835,67603.98102592258,72337.79008126903,90294.96933931272,103610.67427754727,119111.24989047594,143162.60271847618,168558.07194360712,193766.56182747535,223480.2626883785,7096,86,8324.079999999998,81.42
Tamil Nadu,185610.6,228516.1,283620.2,326636.0,401503.8,462201.8,568892.7,667974.9,741497.7,834543.5,75076488.73,75827253.61,76585526.15,77351381.41,78124895.23,78906144.18,79695205.62,80492157.68,81297079.25,82110050.05,24722.86639130359,30136.407310136787,37033.13331614423,42227.55871271001,51392.55532029466,58576.14825857278,71383.55382538003,82986.33298607334,91208.40586656131,101637.1929491961,130058,555,470099.73,80.09
Telangana,72658.1,90523.4,81820.9,160296.3,190202.7,225418.0,271259.0,314852.9,352061.0,389672.5,36425302.77,36789555.79,37157451.35,37529025.87,37904316.12,38283359.29,38666192.88,39052854.81,39443383.35,39837817.19,19947.150599896027,24605.733354520613,22020.05170626429,42712.61944161941,50179.69441734384,58881.457683072615,70154.04925999531,80622.24939298874,89257.30251788859,97814.72166045652,122077,312,214876.47999999998,66.54
Tripura,9327.2,10354.1,11851.5,13383.7,15085.5,18178.9,21490.5,22438.6,23360.5,26505.8,3823092.763,3861323.69,3899936.927,3938936.296,3978325.659,4018108.916,4058290.005,4098872.905,4139861.634,4181260.251,24397.00153307528,26814.89776890474,30388.953005752035,33977.95494583444,37919.218518154,45242.42717167799,52954.56947020227,54743.34169431878,56428.21443147778,63391.892417270145,10491,350,17197.629999999997,87.22
Uttar Pradesh,314072.1,385337.1,473348.2,517584.9,567777.0,549559.2,600109.5,646321.3,693577.1,769245.3,207925523.3,210004778.5,212104826.3,214225874.6,216368133.3,218531814.7,220717132.8,222924304.1,225153547.2,227405082.6,15105.028714865808,18348.9681878834,22316.710480246154,24160.70892306676,26241.24871534398,25147.789156212042,27189.076461217966,28992.859374815922,30804.62682579491,33827.093537442335,240928,828,551693.1699999999,67.68
Uttarakhand,34036.8,40291.5,44508.0,53071.1,59386.6,67544.7,75248.9,78952.1,80120.4,89466.0,10495835.9,10600794.26,10706802.2,10813870.22,10922008.93,11031229.02,11141541.31,11252956.72,11365486.29,11479141.15,32428.860668448524,38008.00110990929,41569.8349223263,49076.87897145856,54373.33038327776,61230.43939849234,67539.03962323502,70161.2047078059,70494.47595611855,77937.8864942348,53483,189,62262.61,79.63
West Bengal,277318.2,314741.6,337610.7,371071.5,404735.9,445790.4,497266.1,548235.9,596725.2,658426.2,94982291.29,95932114.2,96891435.34,97860349.69,98838953.19,99827342.72,100825616.2,101833872.3,102852211.0,103880733.1,29196.831981373438,32808.78385978488,34844.22527288365,37918.47271908109,40949.02737607596,44656.142080268735,49319.420871538394,53836.30098882138,58017.73186966296,63382.89886404354,88752,1030,445192.17000000004,76.26
Jammu and Kashmir,48224.8,55106.3,61969.2,67887.3,78776.6,88719.2,55753.8,68108.9,73175.0,77487.9,13050529.15,13181034.44,13312844.79,13445973.24,13580432.97,13716237.3,13853399.67,13991933.67,14131853.0,14273171.53,36952.371391009845,41807.26501462658,46548.42821163846,50488.944748189904,58007.42890452925,64681.878899835014,40245.572442941004,48677.2604890429,51780.18763710605,54289.19552822049,42241,56,67520.9,67.16
NCT Delhi,32497.9,33303.9,33344.8,3326.4,3406.4,3631.4,9496.4,15689.1,14225.2,19184.9,17469598.72,17644294.71,17820737.66,17998945.04,18178934.49,18360723.83,18544331.07,18729774.38,18917072.12,19106242.84,18602.545210609165,18875.166475838127,18711.23442597157,1848.1083155749222,1873.8171931219717,1977.8087365306233,5120.91806609447,8376.555788495303,7519.768339287803,10041.168303291595,1484,11297,16810.64,86.21
Puducherry,7013.0,7800.1,15856.8,7263.6,8604.2,9016.5,10561.6,12410.0,12371.8,13215.1,1298624.896,1311611.145,1324727.257,1337974.529,1351354.274,1364867.817,1378516.495,1392301.66,1406224.677,1420286.924,54003.27701710718,59469.607510844995,119698.60147597159,54288.02897637224,63670.942295032844,66061.3422611019,76615.69548357127,89132.98286234896,87978.82872026999,93045.2838556162,479,2598,10411.27,85.85
